english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.		examine	item	Dwarf remains
Good for repairing broken cannons.		examine	item	Toolkit
Construction notes for Dwarf cannon ammo.		examine	item	Nulodion's notes
Used to make cannon ammunition.		examine	item	Ammo mould
An old note book.		examine	item	Instruction manual
The cannon is built on this.		examine	item	Cannon base
The mounting for the multicannon.		examine	item	Cannon stand
The barrels of the multicannon.		examine	item	Cannon barrels
This powers the multicannon.		examine	item	Cannon furnace
A metal railing replacement.		examine	item	Railing
A cloth given to me by Sir Galahad.		examine	item	Holy table napkin
A small tin whistle.		examine	item	Magic whistle
I wonder what happens when I ring it?		examine	item	Grail bell
It will point the way for me.		examine	item	Magic gold feather
A holy and powerful artefact.		examine	item	Holy grail
A cog from some machinery.		examine	item	White cog
Doesn't look very tasty.		examine	item	Rat poison
Wormy.		examine	item	Red vine worm
Hemenster fishing contest trophy.		examine	item	Fishing trophy
Pass to the Hemenster fishing contest.		examine	item	Fishing pass
Drives away all known 6 legged creatures.		examine	item	Insect repellent
It's a bucket of wax.		examine	item	Bucket of wax
A lit spooky candle.		examine	item	Lit black candle
A lit candle.		examine	item	Lit candle
A candle.		examine	item	Candle
A spooky candle.		examine	item	Black candle
I can make some arrows with these.		examine	item	Bronze arrowtips
I can make bolts with these.		examine	item	Barb bolttips
A bottle of Khazard's worst brew.		examine	item	Khali brew
A lever to open something perhaps?		examine	item	Lever
It catches the light! (Quick access into the Temple of Ikov).		examine	item	Shiny key
An amulet made by Lucien.		examine	item	Pendant of lucien
Worn by followers of Armadyl.		examine	item	Armadyl pendant
It's very soft!		examine	item	Child's blanket
This is meant to be good for spots.		examine	item	Potion
A cup of a strange brew...		examine	item	Poison chalice
It needs cleaning.		examine	item	Grimy guam leaf
It seems to be looking at me.		examine	item	Eye of newt
Ewww!		examine	item	Red spiders' eggs
The root of a limpwurt plant.		examine	item	Limpwurt root
A glass vial containing water.		examine	item	Vial of water
An empty glass vial.		examine	item	Vial
Strange spiky grass.		examine	item	Snape grass
I can grind things for potions in this.		examine	item	Pestle and mortar
Finely ground horn of Unicorn.		examine	item	Unicorn horn dust
This horn has restorative properties.		examine	item	Unicorn horn
Sour berries, used in potions.		examine	item	White berries
Finely ground scale of Dragon.		examine	item	Dragon scale dust
A large shiny scale.		examine	item	Blue dragon scale
An evil wine for an evil god.		examine	item	Wine of zamorak
They don't look very ripe.		examine	item	Jangerberries
A bitter green herb.		examine	item	Guam leaf
A herb used in poison cures.		examine	item	Marrentill
A useful herb.		examine	item	Tarromin
A powerful herb.		examine	item	Kwuarm
It looks like part of a machine.		examine	item	Pressure gauge
Keeps your pet fish strong and healthy.		examine	item	Fish food
This stuff looks nasty.		examine	item	Poison
Doesn't seem very nice to the poor fishes.		examine	item	Poisoned fish food
A slightly smelly key (Used in the Ernest the Chicken quest).		examine	item	Key
It's slightly charred.		examine	item	Rubber tube
It's pretty full.		examine	item	Oil can
Councillor Halgrive gave me this to kill some sheep.		examine	item	Sheep feed
The suspicious-looking remains of a suspicious-looking sheep.		examine	item	Sheep bones (1)
This should protect me from the plague, I hope!		examine	item	Plague jacket
These should protect me from the plague, I hope!		examine	item	Plague trousers
Some orange armour designed to fit goblins.		examine	item	Orange goblin mail
Some blue armour designed to fit goblins.		examine	item	Blue goblin mail
Some brown armour designed to fit goblins.		examine	item	Goblin mail
A book on elven history in northern Gielinor.		examine	item	Book on baxtorian
I found this in a cave beneath the Tree Gnome Village (used in the Waterfall Quest).		examine	item	Key
A small pebble with elven inscription.		examine	item	Glarial's pebble
A bright green gem set in a necklace.		examine	item	Glarial's amulet
An urn containing Glarial's ashes.		examine	item	Glarial's urn
An empty urn made for Glarial's ashes.		examine	item	Glarial's urn (empty)
I found this within Baxtorian Falls (used in the Waterfall Quest).		examine	item	Key
Magical seeds in a mithril case.		examine	item	Mithril seeds
A bit of rat.		examine	item	Rat's tail
Useful for catching lobsters.		examine	item	Lobster pot
Useful for catching small fish.		examine	item	Small fishing net
Useful for catching lots of fish.		examine	item	Big fishing net
Useful for catching sardine or herring.		examine	item	Fishing rod
Useful for catching salmon or trout.		examine	item	Fly fishing rod
Useful for catching really big fish.		examine	item	Harpoon
For use with a fishing rod.		examine	item	Fishing bait
Used for fly fishing.		examine	item	Feather
Some nicely cooked shrimp.		examine	item	Shrimps
I should try cooking this.		examine	item	Raw shrimps
Some nicely cooked anchovies.		examine	item	Anchovies
Oops!		examine	item	Burnt fish
Some nicely cooked sardines.		examine	item	Sardine
Some nicely cooked salmon.		examine	item	Salmon
Some nicely cooked trout.		examine	item	Trout
Some nicely cooked giant carp.		examine	item	Giant carp
Some nicely cooked cod.		examine	item	Cod
Some nicely cooked herring.		examine	item	Herring
Some nicely cooked pike.		examine	item	Pike
Some nicely cooked mackerel.		examine	item	Mackerel
Wow, this is a big fish.		examine	item	Tuna
This looks tricky to eat.		examine	item	Lobster
A rare catch.		examine	item	Raw manta ray
Tasty!		examine	item	Sea turtle
Slightly damp seaweed.		examine	item	Seaweed
I hope there's treasure in it.		examine	item	Casket
Maybe there are pearls inside?		examine	item	Oyster
Aww, it's empty.		examine	item	Empty oyster
I could work wonders with a chisel on this pearl.		examine	item	Oyster pearl
I could work wonders with a chisel on these pearls.		examine	item	Oyster pearls
Yup. It's an amulet.		examine	item	Lathas' amulet
Medical looking.		examine	item	Medical gown
A very strong spirit brewed on Karamja.		examine	item	Karamjan rum
A key to One-Eyed Hector's chest (Used in the Pirate's Treasure quest).		examine	item	Chest key
Pirates don't have the best handwriting...		examine	item	Pirate message
Some hard dry clay.		examine	item	Clay
The official Alfred Grimhand bar crawl card.		examine	item	Barcrawl card
It's empty!		examine	item	Scorpion cage
There is 1 scorpion inside.		examine	item	Scorpion cage
There are 2 scorpions inside.		examine	item	Scorpion cage
There are 3 scorpions inside.		examine	item	Scorpion cage
I wonder what this tastes like?		examine	item	Strange fruit
I don't fancy eating this now.		examine	item	Enchanted beef
Bones are for burying!		examine	item	Bones
Ew it's a pile of bones.		examine	item	Bat bones
These would feed a dog for months!		examine	item	Dragon bones
Issued to all new citizens of Gielinor.		examine	item	Newcomer map
One of the 4 basic elemental Runes.		examine	item	Fire rune
Used for basic level missile spells.		examine	item	Mind rune
Used for curse spells.		examine	item	Body rune
Used for medium level missile spells.		examine	item	Death rune
Used for alchemy spells.		examine	item	Nature rune
Used for low level missile spells.		examine	item	Chaos rune
Used for teleport spells.		examine	item	Law rune
Used for enchant spells.		examine	item	Cosmic rune
Used for high level missile spells.		examine	item	Blood rune
Used for high level curse spells.		examine	item	Soul rune
I'd prefer it if it was powered.		examine	item	Unpowered orb
A magic glowing orb.		examine	item	Fire orb
It's a bailing bucket.		examine	item	Bailing bucket
It's a bailing bucket full of salty water.		examine	item	Bailing bucket
A strange glowing green orb.		examine	item	Orb of protection
Two strange glowing green orbs.		examine	item	Orbs of protection
Useful for lighting a fire.		examine	item	Tinderbox
A heap of ashes.		examine	item	Ashes
A lit home-made torch.		examine	item	Lit torch
An unlit home-made torch.		examine	item	Unlit torch
A book on the history of astronomy.		examine	item	Astronomy book
A small key for a large door (Allows access to the goblin kitchen in the Observatory Dungeon).		examine	item	Goblin kitchen key
An unusual mould in the shape of a disc.		examine	item	Lens mould
A perfectly circular disc of glass.		examine	item	Observatory lens
A slender bone shard given to you by Zadimus.		examine	item	Bone shard
A bone key fashioned from a shard of bone (Provides access to Rashiliyia's Tomb).		examine	item	Bone key
A stone plaque with carved letters in it.		examine	item	Stone-plaque
An ancient tattered scroll.		examine	item	Tattered scroll
An ancient crumpled scroll.		examine	item	Crumpled scroll
The remains of the Zombie Queen.		examine	item	Rashiliyia corpse
The remains of Zadimus.		examine	item	Zadimus corpse
A magical crystal sphere.		examine	item	Locating crystal
Lovely money!		examine	item	Coins
Beads carved out of a bone.		examine	item	Bone beads
Allows you to rest in the luxurious Paramayer Inn.		examine	item	Paramaya ticket
Allows you passage on the 'Lady of the waves' ship.		examine	item	Ship ticket
An ivory sword pommel.		examine	item	Sword pommel
Notes taken from the tomb of Bervirius.		examine	item	Bervirius notes
A decorated belt used to trade information between distant villages.		examine	item	Wampum belt
Picture of a posing Paladin.		examine	item	Portrait
Definitely blue.		examine	item	Blurite ore
A receptacle for specimens!		examine	item	Specimen jar
A small brush used to clean rock samples.		examine	item	Specimen brush
A carefully-kept-safe skull sample.		examine	item	Animal skull
A special cup.		examine	item	Special cup
A lucky mascot.		examine	item	Teddy
A roughly shaped piece of rock.		examine	item	Cracked sample
A small pick for digging.		examine	item	Rock pick
Used for digging!		examine	item	Trowel
An empty tray for panning.		examine	item	Panning tray
This tray contains gold.		examine	item	Panning tray
This tray contains mud.		examine	item	Panning tray
Pure, lovely gold!		examine	item	Nuggets
An unusual symbol as yet unidentified by the archaeological expert.		examine	item	Ancient talisman
A letter waiting to be stamped.		examine	item	Unstamped letter
A sealed letter of recommendation.		examine	item	Sealed letter
Used to hold up trousers!		examine	item	Belt buckle
Phew!		examine	item	Old boot
A decent-enough weapon gone rusty.		examine	item	Rusty sword
This must have been shot at high speed.		examine	item	Broken arrow
Not Dick Whittington's helper at all!		examine	item	Buttons
I pity the poor person beaten with this!		examine	item	Broken staff
Watch those feet!		examine	item	Broken glass
The owner has passed the Earth Sciences level 1 exam.		examine	item	Level 1 certificate
The owner has passed Earth Sciences level 2 exam.		examine	item	Level 2 certificate
The owner has passed Earth Sciences level 3 exam.		examine	item	Level 3 certificate
Smashing!		examine	item	Ceramic remains
Now, if I can just find a tooth fairy to sell this to...		examine	item	Old tooth
A letter inviting me to use the private dig shafts.		examine	item	Invitation letter
It would be hard to repair this!		examine	item	Damaged armour
No use to me in this state...		examine	item	Broken armour
An old stone slab with writing on it.		examine	item	Stone tablet
An acrid chemical.		examine	item	Chemical powder
A strong chemical.		examine	item	Unidentified liquid
Charcoal - crushed to small pieces!		examine	item	Ground charcoal
A mixture of strong chemicals.		examine	item	Mixed chemicals
The root of an arcenia plant.		examine	item	Arcenia root
This fits a chest (Used in The Digsite quest).		examine	item	Chest key
A vessel for holding plants.		examine	item	Vase
It's about chemicals, judging from its cover.		examine	item	Book on chemicals
It's a clue scroll.		examine	item	Clue scroll
Notes given to you by Radimus Erkle, including a partially-completed map of the Kharazi jungle.		examine	item	Radimus notes
It makes a loud but interesting sound when swung in the air.		examine	item	Bullroarer
A scrawled note with spidery writing on it.		examine	item	Scrawled note
A rough sketch of a bowl-shaped vessel, given to you by Gujuo.		examine	item	Sketch
A specially-made bowl constructed out of pure gold.		examine	item	Gold bowl
A specially-made bowl constructed out of pure gold and blessed by Gujuo.		examine	item	Blessed gold bowl
A specially-made golden bowl filled with water.		examine	item	Golden bowl
A specially-made golden bowl filled with pure, sacred water.		examine	item	Golden bowl
A blessed golden bowl. It has water in it.		examine	item	Golden bowl
A blessed golden bowl. It has pure, sacred water in it.		examine	item	Golden bowl
One of nature's pipes.		examine	item	Hollow reed
It looks like the Shaman's personal notes...		examine	item	Shaman's tome
An ancient tome on Demonology.		examine	item	Binding book
An enchanted empty glass vial.		examine	item	Enchanted vial
Fragments of a broken container.		examine	item	Smashed glass
These need to be germinated before they can be used.		examine	item	Yommi tree seeds
These seeds are germinated and ready to be planted in fertile soil.		examine	item	Yommi tree seeds
It's a mixture of Snakeweed and water. Needs another ingredient.		examine	item	Snakeweed mixture
It's a mixture of Ardrigal and water. Needs another ingredient.		examine	item	Ardrigal mixture
A Bravery Potion made from Gujuo's recipe. Let's hope it works.		examine	item	Bravery potion
It looks like it's been snapped off of something.		examine	item	Chunk of crystal
A heart-shaped crystal.		examine	item	Heart crystal
A powerful spell for good.		examine	item	Holy force
A well-carved totem pole made from the trunk of a Yommi tree.		examine	item	Yommi totem
A gilded totem pole, given to you as a gift from the Kharazi tribe.		examine	item	Gilded totem
A ball used in Gnomeball.		examine	item	Gnomeball
Poisonous berries.		examine	item	Cadava berries
A message from Juliet to Romeo.		examine	item	Message
I'm meant to give this to Juliet.		examine	item	Cadava potion
The Shield of Arrav by A R Wright.		examine	item	Book
The key to get into the Phoenix Gang HQ (Used in the Shield of Arrav quest).		examine	item	Phoenix hq key
The key to the Phoenix Gang's weapons store (Used in the Shield of Arrav quest).		examine	item	Weapon store key
An intelligence report.		examine	item	Intel report
Half of the Shield of Arrav.		examine	item	Broken shield
I can use this to claim a reward from King Roald.		examine	item	Certificate
A limb of the fabled Dramen tree.		examine	item	Dramen branch
A perfect ruby ring.		examine	item	'perfect' ring
A perfect ruby necklace.		examine	item	'perfect' necklace
A fragment of the Fitzharmon family crest.		examine	item	Crest part
The Fitzharmon family crest.		examine	item	Family crest
A sample of the bark from the Grand Tree.		examine	item	Bark sample
A book to translate the ancient gnome language.		examine	item	Translation book
Perhaps I should read it and see what Glough is up to!		examine	item	Glough's journal
Hazelmere wrote something down on this scroll.		examine	item	Hazelmere's scroll
An order from the Karamja shipyard.		examine	item	Lumber order
The key to Glough's chest (Used in The Grand Tree quest).		examine	item	Glough's key
Twigs bound together in the shape of a T.		examine	item	Twigs
Twigs bound together in the shape of a U.		examine	item	Twigs
Twigs bound together in the shape of a Z.		examine	item	Twigs
Twigs bound together in the shape of a O.		examine	item	Twigs
An ancient rock with strange magical properties.		examine	item	Daconia rock
These are plans for an invasion!		examine	item	Invasion plans
A model of a Karamja warship.		examine	item	War ship
A deadly throwing dart with a poisoned tip.		examine	item	Poisoned dart(p)
A deadly looking dart tip made of bronze - needs feathers for flight.		examine	item	Bronze dart tip
