english	translation	category	sub_category	source
Examine	查看	actions	item	
Take	拿取	actions	item	
Light	點燃	actions	item	
(Members)	(會員)	actions	item	
Walk here	走到此處	actions	manual	
Cancel	取消	actions	manual	
Hide	隱藏	actions	menu	prayerTab
Activate	開啟	actions	menu	prayerTab
Unhide	顯示	actions	menu	prayerTab
Deactivate	關閉	actions	menu	prayerTab
Animation	動畫	actions	menu	spellBookTab
Hide	隱藏	actions	menu	spellBookTab
Cast	施法	actions	menu	spellBookTab
Unhide	顯示	actions	menu	spellBookTab
View	展開	actions	menu	spellBookTab
Warnings	緊告	actions	menu	spellBookTab
Configure	設定	actions	menu	spellBookTab
Grand Exchange		actions	menu	spellBookTab
Seers'		actions	menu	spellBookTab
Group: Previous		actions	menu	spellBookTab
Group: Choose		actions	menu	spellBookTab
Outside		actions	menu	spellBookTab
Yanille		actions	menu	spellBookTab
Enable warning		actions	menu	spellBookTab
Disable warning		actions	menu	spellBookTab
Turael		actions	menu	spellBookTab
Target		actions	menu	spellBookTab
Setup		actions	menu	spellBookTab
Arceuus		actions	menu	spellBookTab
Ancient		actions	menu	spellBookTab
Standard		actions	menu	spellBookTab
Reanimate		actions	menu	spellBookTab
Resurrect		actions	menu	spellBookTab
Accurate		actions	menu	combatOptionsTab
Aggressive		actions	menu	combatOptionsTab
Defensive		actions	menu	combatOptionsTab
Controlled		actions	menu	combatOptionsTab
Chop		actions	menu	combatOptionsTab
Slash		actions	menu	combatOptionsTab
Stab		actions	menu	combatOptionsTab
Block		actions	menu	combatOptionsTab
Pound		actions	menu	combatOptionsTab
Pummel		actions	menu	combatOptionsTab
Spike		actions	menu	combatOptionsTab
Impale		actions	menu	combatOptionsTab
Smash		actions	menu	combatOptionsTab
Lunge		actions	menu	combatOptionsTab
Swipe		actions	menu	combatOptionsTab
Hack		actions	menu	combatOptionsTab
Reap		actions	menu	combatOptionsTab
Rapid		actions	menu	combatOptionsTab
Longrange		actions	menu	combatOptionsTab
Flick		actions	menu	combatOptionsTab
Lash		actions	menu	combatOptionsTab
Deflect		actions	menu	combatOptionsTab
Fend		actions	menu	combatOptionsTab
Bash		actions	menu	combatOptionsTab
Blaze		actions	menu	combatOptionsTab
Scorch		actions	menu	combatOptionsTab
Flare		actions	menu	combatOptionsTab
Punch		actions	menu	combatOptionsTab
Kick		actions	menu	combatOptionsTab
Adjust Music Volume		actions	menu	settingsTab
Adjust Area Sound Volume		actions	menu	settingsTab
Adjust Sound Effect Volume		actions	menu	settingsTab
Toggle unlock message		actions	menu	settingsTab
Play		actions	menu	
Open Activity Adviser		actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)		actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)		actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)		actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)		actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)		actions	menu	
Clear history		actions	menu	
Switch tab		actions	menu	
Configure filter		actions	menu	
<colNum0>Game:</col> Clear history		actions	menu	
